"AU_ID","UT","C1","RP","RID","RI","OI","Author_Order"
"Blas, J_4","WOS:000269700700009
","CSIC, Dept Conservat Biol, Estac Biol Donana, ES-41013 Seville, Spain.","CSIC, Dept Conservat Biol, Estac Biol Donana, Avda Ma Luisa S-N,Pabellon Peru,Apdo 1056, ES-41013 Seville, Spain","","","",1
"Sergio, F_10","WOS:000269700700009
","CSIC, Dept Conservat Biol, Estac Biol Donana, ES-41013 Seville, Spain.","","","","",2
"Hiraldo, F_4","WOS:000269700700009
","CSIC, Dept Conservat Biol, Estac Biol Donana, ES-41013 Seville, Spain.","","","","",3
"Anderson, JT_1","WOS:000268548000006
","Cornell Univ, Dept Ecol & Evolutionary Biol, Ithaca, NY 14853 USA.","Duke Univ, Dept Biol, POB 90338, Durham, NC 27708 USA","","","",1
"Rojas, JS_1","WOS:000268548000006
","","","","","",2
"Flecker, AS_1","WOS:000268548000006
","","","","","",3
"Suarez, LH_2","WOS:000266910700005
","Univ Chile, Dept Ciencias Ecol, IEB, Santiago, Chile.","Univ Chile, Dept Ciencias Ecol, IEB, Casilla 653, Santiago, Chile","","","",1
"Gonzalez, WL_1","WOS:000266910700005
","","","","","",2
"Gianoli, E_3","WOS:000266910700005
","","","","","",3
"Farji-Brener, AG_1","WOS:000265504100010
","CRUB UNCOma, INIBIOMA Conicet, Lab Ecotono, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina.","CRUB UNCOma, INIBIOMA Conicet, Lab Ecotono, Pasaje Gutierrez 1125, RA-8400 San Carlos De Bariloche, Rio Negro, Argentina","","","",1
"Chinchilla, FA_1","WOS:000265504100010
","","","","","",2
"Magrach, A_1","WOS:000265504100010
","","","","","",3
"Romero, V_1","WOS:000265504100010
","","","","","",4
"Rios, Marcos_2","WOS:000265504100010
","","","","","",5
"Velilla, M_1","WOS:000265504100010
","","","","","",6
"Serrano, JM_1","WOS:000265504100010
","","","","","",7
"Amador-Vargas, Sabrina_1","WOS:000265504100010
","","","","","",8
"Buston, PM_2","WOS:000265950200029
","CSIC, Integrat Ecol Grp, Estac Biol Donana, Seville 41013, Spain.","CSIC, Integrat Ecol Grp, Estac Biol Donana, Avda Maria Luisa S-N Pabellon Peru, Seville 41013, Spain","","","",1
"Zink, AG_1","WOS:000265950200029
","","","","","",2
"Horgan, FG_4","WOS:000265070500004
","Univ New Brunswick, Dept Biol, Populat Ecol Grp, Fredericton, NB E3B 6C2, Canada.","Int Rice Res Inst, Crop & Environm Sci Div, DAPO Box 7777, Manila, Philippines","","","",1
"Quiring, DT_4","WOS:000265070500004
","","","","","",2
"Lagnaoui, A_6","WOS:000265070500004
","","","","","",3
"Pelletier, Y_4","WOS:000265070500004
","","","","","",4
"Chao, KJ_3","WOS:000264568200008
","Univ Leeds, Sch Geog, Earth & Biosphere Inst, RAINFOR Project, Leeds LS2 9JT, W Yorkshire, England.","Univ Leeds, Sch Geog, Earth & Biosphere Inst, RAINFOR Project, Leeds LS2 9JT, W Yorkshire, England","","","",1
"Phillips, OL_17","WOS:000264568200008
","","","","","",2
"Monteagudo, Abel_4","WOS:000264568200008
","","","","","",3
"Torres-Lezama, Armando_2","WOS:000264568200008
","","","","","",4
